r: 3, CCNOT: 14, depth: 15, max depth qbits: [5, 17]/18, corresponding to ['H[1,2]', 'C[5]']
r: 82, CCNOT: 452763, depth: 10127, max depth qbits: [6641, 16686]/16687, corresponding to ['H[80,81]', 'C[6641]']
r: 83, CCNOT: 469614, depth: 10375, max depth qbits: [6805, 17097]/17098, corresponding to ['H[81,82]', 'C[6805]']
r: 84, CCNOT: 486878, depth: 10626, max depth qbits: [6971, 17513]/17514, corresponding to ['H[82,83]', 'C[6971]']
r: 85, CCNOT: 504560, depth: 10880, max depth qbits: [7139, 17934]/17935, corresponding to ['H[83,84]', 'C[7139]']
r: 86, CCNOT: 522665, depth: 11137, max depth qbits: [7309, 18360]/18361, corresponding to ['H[84,85]', 'C[7309]']
r: 87, CCNOT: 541198, depth: 11397, max depth qbits: [7481, 18791]/18792, corresponding to ['H[85,86]', 'C[7481]']
r: 88, CCNOT: 560164, depth: 11660, max depth qbits: [7655, 19227]/19228, corresponding to ['H[86,87]', 'C[7655]']
r: 89, CCNOT: 579568, depth: 11926, max depth qbits: [7831, 19668]/19669, corresponding to ['H[87,88]', 'C[7831]']
r: 90, CCNOT: 599415, depth: 12195, max depth qbits: [8009, 20114]/20115, corresponding to ['H[88,89]', 'C[8009]']
r: 91, CCNOT: 619710, depth: 12467, max depth qbits: [8189, 20565]/20566, corresponding to ['H[89,90]', 'C[8189]']
r: 92, CCNOT: 640458, depth: 12742, max depth qbits: [8371, 21021]/21022, corresponding to ['H[90,91]', 'C[8371]']
r: 93, CCNOT: 661664, depth: 13020, max depth qbits: [8555, 21482]/21483, corresponding to ['H[91,92]', 'C[8555]']
r: 94, CCNOT: 683333, depth: 13301, max depth qbits: [8741, 21948]/21949, corresponding to ['H[92,93]', 'C[8741]']
r: 95, CCNOT: 705470, depth: 13585, max depth qbits: [8929, 22419]/22420, corresponding to ['H[93,94]', 'C[8929]']
r: 96, CCNOT: 728080, depth: 13872, max depth qbits: [9119, 22895]/22896, corresponding to ['H[94,95]', 'C[9119]']
r: 97, CCNOT: 751168, depth: 14162, max depth qbits: [9311, 23376]/23377, corresponding to ['H[95,96]', 'C[9311]']
r: 98, CCNOT: 774739, depth: 14455, max depth qbits: [9505, 23862]/23863, corresponding to ['H[96,97]', 'C[9505]']
r: 99, CCNOT: 798798, depth: 14751, max depth qbits: [9701, 24353]/24354, corresponding to ['H[97,98]', 'C[9701]']
r: 100, CCNOT: 823350, depth: 15050, max depth qbits: [9899, 24849]/24850, corresponding to ['H[98,99]', 'C[9899]']
